GENERO,DESCRICAO
PRODUTO DE LIMPEZA,SABAO BARRA UNO 200G NEUTRO
PARTE E PECA PARA VEICULO,RETENTOR RODA DT EXT 02484BGE
VERDURA E LEGUME,ALFACE AMERICANA EMBALADA
PRODUTO DE LIMPEZA,PEDRA SANITARIA Q ODOR MISTA 40GR
OUTROS MEDICAMENTOS,ENX AGUA RABELO 250ML FR
FRUTA,LARANJA NAVELENA 1 ./. CX 15 KG 92/96 MM
MATERIAL PARA ESCRITORIO E ESCOLAR,MARCA TEXTO DESART AMARELO
TIPO DE GRAO,CANJICA CRISTAL FD.12/500G FD
LACTICINIO,CREME LEITE CCGL TP UND 1 X 1 200G
MISTURA PRONTA,KNORR MOLHO BRANCO BECHAMEL 1,1KG
PRODUTO DE LIMPEZA,AMACIANTE YPE ACONCH. 2L
MATERIAL PARA CONSTRUCAO,MASSA CORRIDA PVA FORTEX 25 KG
CERVEJA,CERV DEVASSA NEGRA LONG NECK 355ML CX 12
OLEO,QA OLEO SOJA QUALITA PET 900ML 1
ALIMENTO CONDIMENTADO,MOL TOM POMAROLA TRAD SC 340G 1
LEITE,LEITE ITAMBE PACOTE 25X400G FDO
ACESSORIO PARA VEICULO,RELE VENT RADIAD UNIVERSAL 40 A 4 TERM C/SUP - DNI-0102 - 0,00% PC
REFERENCIA,IMOSEC 2MG 50 X 4 COMP 101 CX
SUCO,NECTAR ABACAXI DAFRUTA 27X200ML CX
CHINELO,SAND DUPE CORES AZUL NAVAL 41/42 1X1PR
PRODUTO DE LIMPEZA,AMACIANTE YPE ACONCHEGO AZUL500G
CABELO,SH ALYNE 6X350ML POS QUIMICA(QUERATINA) PC
SIMILAR,PROFLOX 500MG 14 COMP-AT 105 CX
ELETRONICO,PLACA ELETRONICA 220V / 60HZ - CMY34 PC
CHINELO,SAND COLOR TURQUESA 43/44 PAR
SIMILAR,SIGMA-CLAV BD 875MG+125MG 20 103 CX
PECA INTIMA,SOUTIEN EM RENDA COMPARSA CEREJA 46 PC
PRODUTO DE HIGIENE,ESC DENTAL COLGATE CLASSIC M 106
MATERIAL PARA CONSTRUCAO,TINTA PISO LATEX PREM GALAO CONCRETO 3,6L HIPERCOR UD
MACARRAO,MACARRAO SPAGHETTI RICHESTER 500G
MAQUIAGEM,ASEPXIA MAQUIAGEM PO COR BEG
UNHAS,ESM COLORAMA CR 8ML RS FLORAL CE
SIMILAR,PRIMERA 20MCG 21 COMP 103 CX
ALIMENTO CONDIMENTADO,MOLHO TOMATE MANJERICAO HEINZ SC340G
CABELO,COND FRUCTIS LISO POS QUIMIC 103 FR
SIMILAR,TOBRACORT COLIRIO 5ML
PREPARACAO DE CARNE,SALS HOT DOG SADIA GNEL CX SAH KG 1
TIPO DE PRODUTO,SODA CAUSTICA COMBATE CX24X350G
CORPO,SABONETE LIQUIDO ALYNE PETALAS DE ROSAS GLICERINADO 2L
AGUA,AGUA MINERAL INDAIA 1,5L S/GAS UND
CABELO,GEL FIX NY LOOKS 240 GR RS B.MOLHADO R1964 8313
REFRIGERANTE,COCA COLA 6X2000ML FD
FRUTA,BANANA PRATA CATARINA - EXTRA REDE KG
CORPO,SB FRANCIS CLASS 90G ROSA DZ
MATERIAL ELETRICO,BATERIA PANASONIC ALC. 9V CD
SUCO,BEBIDA MISTA CITRUX UVA 350 ML
PREPARACAO DE FRUTA,POLPA DE FRUTA UVA ALIPOLPA 400G PC
REFERENCIA,CITALOR 10MG CPD/30 D1 CX
SIMILAR,BIOFENAC 50MG CPD10
CABELO,SH JEJ BABY CAB CACHEADO 400 103 FR
SIMILAR,LACTOFOS SACHE15 6G
ACUCAR,ACUCAR CRISTAL FD.30X01KG. OLHO DAGUA KG
TENIS,TENIS KOLOSH ORFEU PRETO 40 PR
ALIMENTO CONDIMENTADO,MAGGI SOPAO SP CARNE 24X200G BR CX
ORTOPEDIA,SUPORTE PULSO AJUSTAVEL
MEDICAMENTO NAO CLASSIFICADO,DAMATER 30 CAPS 103 CX
SIMILAR,REUQUINOL 400MG 30 COMP 103 CX
REFERENCIA,FLANCOX 400MG 10 COMP 101 CX
VERDURA E LEGUME,PIMENTAO VERDE(KG) KG
FARINHA E AMIDO,FLOCAO VITAMILHO UND 1 X 1 500G
ALIMENTO PARA ANIMAL,FREDDYS 25KG SC
PARTE E PECA PARA VEICULO,PNEU ALTIMAX 175/65 R14 1
AGUA,AGUA MINERAL S GAS 1,5 CRYSTAL
REFERENCIA,ATROVENT SOL INAL 20ML 103 FR
PRODUTO DE HIGIENE,JOHNSON ED REACH PROF EXT/MAC3
FARINHA E AMIDO,FAR.DE TRIGO D. BENTA C/FERM.10X1KG FD
PRODUTO FARMACEUTICO,COMPRESSA DE GAZE C/40 X 5 UNI (N ESTER) (CREME) CX
FERRAGEM,PARAF COROA TI/KS/ES TRIL PC
PECA INTIMA,CALCINHA BIQUINI CAMURCA P.EAN :7899726944957
TIPO DE PRODUTO,CASTROL MAGNATEC FLEX 15W40 1L EMB FR
TIPO DE PRODUTO,AGUARAZ EUCATEX 0,9ML
PRODUTO DE LIMPEZA,AGUA SANIT BRILUX BCA 2X5L CX
CABELO,VC BELLADONNA 10ML C/24 LIPO C DI
FERRAGEM,VERGALHAO (02) 5/16 GERDAU KG
LACTICINIO,BEB.LACTEA NESCAU PRONTINHO TP PCT 1 X 1 3X200ML
LIVRO,KTA-V.VALORES L.PORT 1.ANO 2015
MATERIAL PARA ESCRITORIO E ESCOLAR,CAD.CALIGRAFIA BROCHURA 015 PGS NR.03
CORPO,SAB JOHNSON PELE CHEIA VIDA 12X90G DZ
SIMILAR,TARGIFOR C 30CPR REV SANO CX
UNHAS,ESM RISQUE CR 8ML ASTRAL CE
REFERENCIA,FENERGAN CRM 30G 101 TB
VERDURA E LEGUME,COUVE MANTEIGA MACO
SIMILAR,FLUTICAN 50MCG NASAL 10ML
AGUA,GELO CUBO SC 3KG
SIMILAR,DECONGEX PLUS GTS 20ML
BOMBONIERE,B-CHOCOSOY DARK MIX 50G (SM) PC.C/2X25G PC
SIMILAR,IUMI 3MG+20MG 24COMP 105 CX
REFERENCIA,DIOVAN 160MG CPD/28 NOVO CX
CABELO,TRA LA LA SH 2X1 480ML .
VEICULO TERRESTRE,BICICLETA ARO 12 BLACK 10039 NATHOR
MATERIAL PARA CONSTRUCAO,TEXT FORTLAR PEROLA 28 KG
ARROZ,ARROZ POLIDO LF-T1 FARDO 6X5KG - MEU BIJU
MATERIAL PARA CONSTRUCAO,JOE.SD.90 KRONA 20MM 50X1 PT
CORPO,DERMOTIVIN SOFT SAB LIQ 120ML
ELETRODOMESTICO,FREEZER HOR. 305L CONSUL CHA31 BR 220V
BISCOITO,BISC COOKIES PREMIUM SENSE 200G BAUNILHA
REFERENCIA,MINESSE 24CPR WYET CX
SIMILAR,LEUCOGEN 20 CAPS 103 CX
PREPARACAO DE FRUTA,POLPA DE ABACAXI VITA FRUTAS 500G
MISTURA PRONTA,MUCILON AVEIA E ARROZ SCH 600G 1
TENIS,TENIS SLIP CANVAS PRETO 39 PR
SIMILAR,RINOSORO SIC INF 0 9% SPR 50 101 FR
LIVRO,A CONQUISTA DA MATEMATICA-6O ANO-NOVA ED.
REFERENCIA,SORINE SOL NAS ADT 30ML ACHE FR
LACTICINIO,CR VEG BECEL MANTEIGA 500G BEM500 1
CABELO,TIN BIOCOLOR HOMEM C/CL
VESTUARIO MASCULINO,BG CAMISETA DEC CARECA MEIA MALHA
BISCOITO,BISC.BAUDUCCO RECHEADINHO CHOCOLATE CXA 1 X 40 130G
GENERICO,*NISTATINA 100000UI/ML C/50ML // CX
AGUA,AGUA MINERAL INDAIA C GAS 12X500 ML PET PC
SIMILAR,GOTAS BINELLI 10ML 105 FR
FRUTA,AMEIXA FRESCA KG IMP
OLEO,OLEO GIRASSOL SINHA PET 3X900ML R3086 PT
LACTICINIO,SORVETE HAAGEN DAZS MIDNIGHT COOKIE473ML CX 8
PECA INTIMA,SUTIA PUSH-UP GRADUADO ABSOLUTO 46.EAN :7899726930790
PECA INTIMA,SUTIA MEIA-TACA SEM ARO COM SUPORTE BRANCO 46.EAN :7899726909697
PRODUTO DE LIMPEZA,LUSTRA MOVEIS BRILHOL 200ML
CABELO,TINT KOLESTON KIT 70 LOURO M 101
PRODUTO DE LIMPEZA,AMAC YPE 2LT INTENSO .
PRODUTO DE LIMPEZA,DETERGENTE FC CLEAR 500ML
PRODUTO DE LIMPEZA,DETERGENTE NEUTRO 500ML C/24 YPE CX
GENERICO,GEN ESPIRONOLACTONA 50MG 30 102 CX
SIMILAR,VITACID ACNE GEL 25G-AT 103
TEMPERO,TEMPERO SAZON VERMELHO CARNES 60G
TIPO DE MADEIRA,PALITO DENTAL SACHET FDO C/12 CX C/ 2000 BILLA 345
FRUTA,LIMAO SICILIANO KG
CORPO,SB LQ NIVEA 250ML CREME CAR
MATERIAL PARA ESCRITORIO E ESCOLAR,CAD.01 MAT.LIC. 96FLS PRINCESAS
CORPO,#DES.NIVEA R-ON FEM.DRY CONF.5 CD
GENERICO,CL VENLAFAXINA 75MG CP/30 ME P/C1
CORPO,DES LEITE DE ROSAS LIQ 170ML CX
ARTIGO PARA DECORACAO,TAPETE NUMERICO 30CM X 30CM X 0,5CM
OUTROS MEDICAMENTOS,COMP MEL PROP. ROMA 250G WENZEL
PECA INTIMA,CALCINHA FRENTE E LATERAIS DUPLAS BRANCO EG.EAN :7891306160375
PRODUTO PARA CONSERVACAO,CERA GR. PRIX TRADICIONAL 200G
SUCO,NECTAR GOIABA LIGHT MAGUARY 12X1000ML CX
MISTURA PRONTA,MUCILON AVEIA E ARROZ 400GR
LEITE,LEITE ITAMBE INTEG INSTANTANEO 200G FD 50
REFERENCIA,ELANI 28 COMP 105 CX
SIMILAR,OCTIFEN 0 25MG SOL OFT 5ML 101 FR
OLEO,OLEO GIRASSOL SALADA 900ML
PAO,P QUEIJO DELICIA MINEIRA TRAD 1KG PCT
CORPO,DES JEJ AERO DRY ACTION 90G 101 FR
SIMILAR,PRADAXA 110MG CAPS/30
REFERENCIA,CORUS 50MG 30CPR BIOS CX
SIMILAR,CENEVIT 2G 10CPR EFERV (LEGRA) CT
PRODUTO DE LIMPEZA,LUSTRA MOVEIS POLIFLOR JASMIM 500 ML
CABELO,COND KOLENE ORIGINAL 12X300ML CX
PAO,PAO AMOR VIE PANE 500G
ACUCAR,ACUCAR CRISTAL FORPAN
AGUA,AGUA MINERAL INDAIA 6X1500ML PCT
DOCE E SOBREMESA,COCADA ZERO ACUCAR FLORMEL 25G
PRODUTO FARMACEUTICO,FD T MONICA VESTE FACIL JUMBO G18 CX
GENERICO,*NIMESULIDA 50MG/ML 15ML CX
ELETROPORTATEIS,VENTILADOR MONDIAL 40CM V45 NA 220V PC
SIMILAR,TENSART 360MG CPD30
MATERIAL ELETRICO,ADAPTADOR BORNE X BNC MACHO PC
PRODUTO DE LIMPEZA,DESINFETANTE LAVABEM FLORAL CX 12X1000ML
PRODUTO FARMACEUTICO,PRESERV EROS CHOCOLATE C. 03 UNID
FRUTA,TQ TOMATE SALADA ORG TAEQ 500G 1
TIPO DE MOVEIS,COLCHAO PALAZZO C/1 EUROTOP 25 CM 138X188
SUCO,SUCO LARANJA/MACA JANDAIA 6X1000ML CX
UTENSILIO PARA O LAR,GARRAFA TERMICA 1L INOX TERMOLAR
PARTE E PECA PARA VEICULO,LANT TZ FAN150/TI150 09-12 V TRIL PC
ALIMENTO CONDIMENTADO,ALIM INF NESTLE CARNE LEGUME 115G
REFERENCIA,TERRAMICINA LA INJ.50ML CD
MEDICAMENTO NAO CLASSIFICADO,APETIVITON BC XPE C/240ML (CIFAR) CX
REFERENCIA,GUTTALAX GTS 20ML 102 FR
SIMILAR,EBASTEL 10MG CPD C/10
PRODUTO DE LIMPEZA,GLADE SANY PEDRA PINHO 25G
GENERICO,PAROXETINA 20MG 30CPR C1(G) BIOS CX
CEREAL,B-GRAIN FLAKES LIGHT SOJA/LINHACA PC.C/250G PC
MATERIAL PARA CONSTRUCAO,CIMENTO SACO 50 KG
GENERICO,GEN IBANDRONATO SODIO 150MG 107 CX
PRODUTO DE HIGIENE,CRM DENTAL COLGATE MPA 180G 101 BG
MATERIAL PARA CONSTRUCAO,LUVA SOLD PVC 25MM CORR TIGRE PC
REFERENCIA,JANUMET 50/1000MG 56CPR MSD CX
PRODUTO FARMACEUTICO,PRES. BLOWTEX SACHE ACTION C/3 (BLOWT) PC
CHINELO,SAND HAVAIANA COLOR AZUL NAVAL 37/8 6X1 PT
MISTURA PRONTA,FARINHA LACTEA NUTRIMENTAL 230G CX 12
SIMILAR,COMBIRON FOLICO 45 COMP 105 CX
ALIMENTO PARA ANIMAL,PEDIGREE JUNIOR FRANGO MOLHO 100G 1
REFRIGERANTE,REFRIG.COCA COLA ZERO 350ML LT
SIMILAR,LEXIN 300MG C/120 COMPRIMIDOS DP
SIMILAR,ESCLEROVITAN PLUS 30 COMP FR
BISCOITO,WAFER DUPLO CH. VISC.28X100G CX
ALIMENTO CONDIMENTADO,FEIJOADA ANGLO 830G
TIPO DE GRAO,PIPOCA MICROONDAS YOKI 1X100G BACON
ELETROPORTATEIS,VENT MALLORY 30CM BOREAL SECURITY
ELETROPORTATEIS,VENTIL 40CM MONDIAL V45 220V PC
MATERIAL PARA CONSTRUCAO,TUBO SOLDAVEL 50 MM
MATERIAL PARA ESCRITORIO E ESCOLAR,CLIPS ACC 3/0 C/ 500G
SIMILAR,SINOT CLAV 400 MG+57 MG5ML 101
PRODUTO DE HIGIENE,TOALHA INT ECONOCLEAN BCA1250F PC
SANDALIA,CHINELO MELISSA PRETO OPAC PR
PREPARACAO DE FRUTA,POLPA MAXFRUT ACEROLA 400G CX 6 UN
PRODUTO FARMACEUTICO,COLLAGEN 1000MG DAUF CAPS60 FR
PREPARACAO DE FRUTA,POLPA GRAVIOLA DOCE MEL KG
CABELO,POS-SH QUERAVIT 250ML
ROSTO,IDEALIA LIFE SERUM VICHY 30ML
FRUTA,MANGA JASMIM GNEL KG 1
CORPO,SAIS DE BANHO( ESFOLIANTE CORPORAL ) BEM BELLA 100G PCT
ROSTO,CR ANTIRRUGA REVITALIFT FIRM NOT49G
SIMILAR,TARGIFOR C 60 COMP 109 CX
UTENSILIO DE LIMPEZA,ESP DE ACO ASSOLAN 1X8
PAPEL,PAPEL ALMACO PAUT 400F PANAMERICANA 4001 PC
REFERENCIA,METRI 500MG CPD/30
ROSTO,EFFACLAR SAB 80G
LEITE,LEITE PO PIRACANJUBA INT SACH 200G
ARROZ,ARROZ INTEG PARB CAMIL 1KG
PREPARACAO DE CARNE,SALSICHA PERDIGAO HOT DOG KG
PECA INTIMA,CUECA-66233-G PC
AGUARDENTE,AGUARDENTE YPIOCA OURO 965ML
CARNE DE AVE ,BPL PEITO S/ PELE FRANGO RESF 15X700G CX
MATERIAL PARA CONSTRUCAO,LIGACAO FLEX 40CM 4607C MALHA INOX/CR DE . .
PERFUMARIA,ESSENCIA VINOL 250ML CITRATUS 92125
CABELO,MARCIA TINT 1.1 PRETO AZUL 30ML*
CABELO,#SH.N.GOLD FOR MEN 300ML CD
PREPARACAO DE FRUTA,LEITE DE COCO SOCOCO VD 200ML
CORPO,HELIODERM SUNCARE FACIAL FPS 50 (HERTZ) CT
MATERIAL PARA ESCRITORIO E ESCOLAR,MARCA TEXTO VERDE DESART D542
PRODUTO DE HIGIENE,ESC J&J REACH ESSENCIAL JR MAC 1UN JOHN CX
PRODUTO DE HIGIENE,ESP BANHO PONJ LUXO
PRODUTO DESCARTAVEL,GUARDANAPO GIRASSOL 14 X 14
ELETRODOMESTICO,REF 261L CONSUL CRA30F 220V BC PC
SUCO,REFRESCO MARATA MARACUJA 15X30G CT
REFRIGERANTE,REFRIG FANTA LT 350ML LARANJA
CARNE BOVINA,CHA FORA PEDACO KG
CABELO,ALYNE CO 350ML HID.INTEN
CORPO,YAMA PO DESC 300G REFIL AMETISTA
SIMILAR,FOLIFER C100ML CX
CORPO,DERMOTIVIN SALIX SAB 90G 101
CABELO,TINT IMEDIA EXC LOU ESC VERMINT666
ACESSORIO PARA BELEZA,SANTA CLARA 1075 LIXA PES E.V.A SOFT ANAT SIMPLES
SIMILAR,PEDIALYTE 45 ZINCO GUARANA 5 103 FR
REFERENCIA,DRAMIN B6 GTS 30ML 105 FR
SIMILAR,DICLOFENACO SOD 100MG CPD20 GNE
LACTICINIO,SORVETE KIBON SORVETERIA 1,5L CHICABON
PAO,PAO PANEVITA BRIOCHE 300G
PRODUTO FARMACEUTICO,MICROPOROSA 2,5CMX90CM CREMER CX 96UN
GENERICO,GEN HIDROQUINONA CRM 40MG 30 102 CX
ALIMENTO PARA ANIMAL,RACAO P/PASS ALPISTE KG KG
MATERIAL PARA CONSTRUCAO,LUVA ELETRODUTO 1 1/2 ROSCA
CAFE,CAFE KIMIMO AVACUO 20X250G CX
SIMILAR,STREPSILS 8 75MG C 4 PAST 102 CX
PRODUTO PARA CONSERVACAO,EVITA MOFO INSPIRA 230G 12X1 LAVANDAO
REFERENCIA,AZELAN GEL 30GR BAYE CX
TENIS,TENIS-02424-21 PAR
ACESSORIO PARA BELEZA,GRAMPO PCABEL MARCO BONI-13 102
MEDICAMENTO NAO CLASSIFICADO,VITAWIN KIDS 150ML 102 FR
LEITE,LEITE UHT BETANIA 1L INTEGRAL CX12
PECA INTIMA,SUTIA NADADOR UNIVERSAL-TACA B PRETO 44B.EAN :7899726978174
CORPO,TENYS.PE BARUEL TALCO ORIG 100G
VINHO,VH CHI STA HELENA RESDO TTO MERLOT 750ML
DOCE E SOBREMESA,DOCE CAJU CRISTALIZADA TAMBAU 400G
SIMILAR,OS-CAL CARB CALCIO 500MG CPR 1X60-OUTROS
PAPEL,PAPEL REPORT 297X420 A3 500F
PECA INTIMA,CALCINHA BASICA
CABELO,NAZCA KIT ORIGEM NOW COLOR CAST ESCURO R289
SUCO,SUCO MAGUARY PRONTO UVA 1L CX 12
PRODUTO DE LIMPEZA,LIMPEZA PESADA 500ML VEJA
SIMILAR,NOVANLO 5MG 30CPR CX
MATERIAL PARA CONSTRUCAO,LUVA L/R 25MM X 3/4
MATERIAL ELETRICO,SENSOR 476 PRO PARADOX
SUCO,R.CLIGHT LARANJA PC
REFRIGERANTE,COCA COLA PET 1L
CHINELO,SAND HAVAIANA COLOR MIX AREIA/DOURADO CLARO 37/8 6X1 PT
PRODUTO DE HIGIENE,CLOSEUP ED MULTI CLEAN MACIA
MACARRAO,MAC NISSIN LAMEN GALINHA CAIPIRA 85G CX 50
CABELO,MURIEL UMIDILIZ SH OLEO ARGAN 250ML*
LACTICINIO,CREME LEITE NESTLE 200G
SIMILAR,LONIUM 40MG 60 COMP 101
REFERENCIA,PULMICORT SUS PNEB 0 50MG 2 103 CX
CABELO,TINT LUMINOUS CR+OX CAST CL 5.0
LACTICINIO,MARG PRIMOR 12X500GR CX
CABELO,T.XUXINHA CCP 150ML CACHEADOS
LEITE,LEITE PO NAN 2 PRO 800G
MATERIAL PARA CONSTRUCAO,ARALDITE ULTRA RAPIDO HOBBY 16G 10 MIN
CARNE BOVINA,CARNE MOIDA DE PRIMEIRA - 1 PECAS KG
GENERICO,GEN ATENOLOL 50MG 30 COMP 106 CX
ALIMENTO CONDIMENTADO,MOLHO INGLES JIMMY -1 L
MATERIAL PARA ESCRITORIO E ESCOLAR,GRAMPO 26/6 C/5000 COBRE 336 FRAMA
BISCOITO,BISC CLUB SOCIAL REC PER QJ BC45G 1
CABELO,TINT FLEURY CAST. CL 5.0
CABELO,CP PANTENE*REST SUMMER 240G
CABELO,ALIS ORIGEM NOW COLOR PRT AZUL
MATERIAL PARA CONSTRUCAO,TRINCHA CONDOR 700 2 1/2
CERVEJA,CERV SCHIN LTA 350ML
PRODUTO DE HIGIENE,ESC DENTAL ORAL B INTERDENTA 102
SIMILAR,HIPOGLOS POMADA 135G LP:N
CORPO,SAB DOVE KARITE/BAUNILHA 90G
SIMILAR,BIOMATIKA VASELINA LIQUIDA 100ML
TIPO DE GRAO,MILHO PIPOCA MICRO YOKI NATURAL-062 PCT 1 X 1 100G
BOMBONIERE,YOKITOS QUEIJO BOLINHA 36/45G CX
GENERICO,GEN CEFTRIAXONA SOD IM 500MG 103 CX
PRODUTO HOSPITALAR,SCALP 21 G
CEREAL,GRANOLA KOBBER 1KG TRADICIONAL
CERVEJA,CERVEJA SKOL LATA 12 X 350ML PC
CORPO,DA BIO FEM INVISIVEL 150ML
CAFE,CAFE 3 CORACOES DESCAFEINADO 250G
BOMBONIERE,SALG DELICITOS 50G PIMENTA
CABELO,ALYNE SH RECONSTR E FORTALECIMENT350ML *
PECA INTIMA,CALCINHA MALHA DE ALGOD�O
MACARRAO,MACARRAO ALTEZA ESPAG 10X500G FD
PRODUTO DE LIMPEZA,AGUA SANIT CLORAL 12X1L CX
PRODUTO DE LIMPEZA,LIMPAD CASA PERF SENSUALID 500ML
SIMILAR,SYNTHROID 88MCG 30 COMP 103 CX
MATERIAL PARA CONSTRUCAO,BUCHA REDUCAO CURTA SOLDAVEL 60X50MM - TIGRE
PRODUTO DE LIMPEZA,SABAO EM PASTA ATOL 12X500G CX
BOMBONIERE,CHICLE MENTOS PURE FRESH MIN 101
DOCE E SOBREMESA,GELEIA MOCOTO DUCOPO 180G NATURAL CX 24
VERDURA E LEGUME,CEBOLINHA ORGANICA
CABELO,#SH.MONANGE CACHOS PERFEI.350M CD
REFERENCIA,ALDOMET 250MG 30 COMP 104 CX
PRODUTO DE HIGIENE,C. D. COLGATE TRIPLA ACAO 12X180G DZ
SUCO,SUCO MARATA 200ML LARANJA
PRODUTO DESCARTAVEL,COPO DESCARTAV�L PARA CAF� 50 ML PCT
CABELO,SH WELLA 250ML BRILLIANCE
MATERIAL PARA ESCRITORIO E ESCOLAR,CANETA BIC SHIMMERS SORT.25X1 PT
GENERICO,LORATADINA [LORATAMED] 10MG C/12 CPR (CIMED) CX
PRODUTO DE LIMPEZA,DET.LIQ.YPE 500ML MACA
SIMILAR,NEURAL 50MG CP/30 P/C1
PRODUTO FARMACEUTICO,LUVA SENSITEX TAM 7,5 CIR EST FE ENV CURTO (MUCAM) PR
GENERICO,GEN PROPRANOLOL 40MG 30 COMP 102 CX
LIVRO,HOMEM QUE CALCULAVA, O
FRUTA,MP TOMATE PERA 450G CD 1
ALIMENTO CONDIMENTADO,MOLHO PREDILECTA HOT DOG SACHET 340G
UTENSILIO PARA O LAR,GARRAFA TERMICO 0,75L FUTURA ROLHA AXT
MEDICAMENTO NAO CLASSIFICADO,NUTRIMAIZ SM 24CAP ANDR CX
DOCE E SOBREMESA,MOCA BEIJINHO NPRO 6X2400G XW
PRODUTO DE LIMPEZA,LIMPADOR CASA E PERFUME 500ML AMABLE
CABELO,CP ELSEVE* RT5 ESP QUIM 250ML
MATERIAL PARA ESCRITORIO E ESCOLAR,COLA BIC ESCOLAR BCA 40G 12X1 PT
PRODUTO DE LIMPEZA,DESINFETANTE ZIX 16 X 1 LT CX
TIPO DE MOVEIS,COLC SEALY BLANC PILLOW 138X188X49 MASTER GOL PC
TEMPERO,VINAGRE DE ALCOOL LORD 12X750ML CX
PRODUTO DE LIMPEZA,AMAC YPE ACONCHEGO (AZUL) 24X500ML CX
PRODUTO DESCARTAVEL,FILTRO PAPEL 3C 102/30 DESAG C/ABA
AGUA,AGUA TONICA ANTARCTICA 350ML LT
GENERICO,CICLOBENZAPRINA 5MG 15CPR (G) BIOS CX
SIMILAR,CLOTREN CR 50G TEUTO
LEITE,LEITE UHT DESNATADO BETANIA 1L
MATERIAL PARA ESCRITORIO E ESCOLAR,CANETA COMPACTOR TOP 2000 PRETA C/100UN
SIMILAR,GEN DICLOFENACO SODICO GEL 6 104 BG
FRUTA,BANANA MACA 1 PARAISO DA BANANA KG
PRODUTO FARMACEUTICO,FRD.PLENIT.SUPERSEC M 4X8 EE
GENERICO,GEN BISOPROLOL 10MG 30 COMP 104 CX
GENERICO,GEN DESLORATADINA 5MG 10 COM 104 CX
PRODUTO DE HIGIENE,CRM DENTAL COLGATE TOTAL PRO 102 BG
PRODUTO DE HIGIENE,ESPONJA BANHO CALYPSO ESFOLIANTE
CARNE BOVINA,ALCATRA C/MAMINHA RESFRIADA - 6 PECAS KG
PREPARACAO DE CARNE,BLANQUET PERU SADIA PECA KG
ALIMENTO EM CONSERVA,PALMITO INTEIRO 270G CULTIVERDE
GENERICO,MICONAZOL NIT CR VAG 20MG/G 80G+14APL (PRATI)
TEMPERO,OREGANO KITANO ENV 3G 426 1
MATERIAL PARA CONSTRUCAO,LUVA SOLD 25MM TIGRE
CABELO,CP INF T.XUXINHA 150ML
PREPARACAO DE CARNE,SALSICHA DUBOI 5 KG
CABELO,SH INF JOHNSON BABY.CLARO CAM 400ML
PRODUTO DESCARTAVEL,MEXEDOR P/ CAFE PCT. C/ 500 UND MSP-800 PCT
REFERENCIA,CORDAREX 10MG CPD30
SIMILAR,TAMISA SEM PARAR 30MCG 28CPR EURO CX
PRODUTO DE LIMPEZA,DESINFETANTE GUARANI HERBAL 6X2L CX
REFERENCIA,PRISTIQ 50MG 28 COMP-C1 101 CX
BISCOITO,BISC CLUB SOCIAL SANDUBA 12X45G MISTO CXT CT
CABELO,SH TRESEMME 1X400ML QUERATINA R554000
CORPO,SAB INF T.XUXINHA TRAD 12X80G DZ
GENERICO,PIROXICAM 20MG 10CAPS GEN
REFERENCIA,PILOCARPINA 2% COL 10ML 103 FR
REFRIGERANTE,REFRIG KUAT 2L
GENERICO,*LORATADINA 5MG/ML XPE FR 100ML EMS
PRODUTO DE LIMPEZA,POLIDOR DE ALUMINIO LIMPA FACIL 5LTS GL
PRODUTO DE HIGIENE,TOALHA PAPEL SOCIAL CLEAN 50 FLS FDO 1 X 12 2UND
REFERENCIA,LISADOR 25 X 4 COMP - OTX 105 CX
PECA INTIMA,CALCINHA BIQUINI COM RENDA NAS LATERAIS ABSOLUTO G.EAN :7899726930011
VERDURA E LEGUME,PIMENTAO VERDE
BOMBONIERE,PASTILHA MINTY DOCILE HORTELA 40 UND (24) CXT
PRODUTO FARMACEUTICO,ABSORVENTES YORK PARA SEIOS 101 CX
UTENSILIO PARA O LAR,GFA ALLADIN FLOR REQ.3264 SORT CD
CORPO,SAB LIQ BABY MURIEL MENINA 100ML
BISCOITO,BISC NESTLE BONO CHOCOLATE 140G CX 63
SIMILAR,DORALFLEX 200CPRS (PHARMASCIENCE)
PRODUTO DE LIMPEZA,DETERGENTE 5LT LAVA LOUCA NEUTRO TALIMPO BAM
MATERIAL PARA CONSTRUCAO,JOELHO TIGRE 45 ESGOTO 100MM
PRODUTO DE LIMPEZA,LAVA ROUPA ROMA 500ML
AGUA,AGUA MINERAL 1500ML C/6 NATURAGUA CX
REFERENCIA,BISOLVON XPE ADU 120ML 106 FR
FARINHA E AMIDO,FARINHA LINHACA DOURADA 250G FD 12
SIMILAR,DORALIV 100MG 20ML 101 FR
CABELO,COND CR PENT COLAG ELAST 500ML FATTORE
MATERIAL PARA ESCRITORIO E ESCOLAR,SERTIC CANETA ESF NEON DISP C/50 SORT R8600 DP
FEIJAO,FEIJAO CARIOCA KICALDO TP1 10X1KG FD
FARINHA E AMIDO,GOMA FRESCA SINHA MARIA 1 KG
PARTE E PECA PARA VEICULO,PIVO DE SUSPENSAO NAKATA PC
GENERICO,GEN ACIDO FUSIDICO+BETA 20MG 105 CX
UTENSILIO DE LIMPEZA,ESPONJA BRILHUS
TIPO DE FERRAMENTA,TESOURA UNHA CURVA ENOX-683 101
TIPO DE GRAO,B-GERME DE TRIGO TOSTADO JASMINE PC.C/500G PC
REFERENCIA,GYNO ICADEN CRM 40G+7 APL 104 BG
